dt,rawTX,rawTY,rawTZ,rawYaw,rawPitch,rawRoll,correctedTX,correctedTY,correctedTZ,correctedYaw,correctedPitch,correctedRoll,filteredTX,filteredTY,filteredTZ,filteredYaw,filteredPitch,filteredRoll,mappedTX,mappedTY,mappedTZ,mappedYaw,mappedPitch,mappedRoll
0.0036838,2.42733,0.476696,44.9663,-2.29478,-21.8541,-1.33306,0.0485373,-0.0510872,0.456384,-0.0325988,-0.282546,0.125572,0,0,0.0282944,-5.29124e-05,-0.00557465,0.00211149,0,0,0.0707361,-5.29124e-05,-0.00557465,0.00211149
0.0038986,2.37879,0.527783,44.5099,-2.25966,-21.5716,-1.44572,0,0,0,4.48231e-06,-6.83019e-06,4.48231e-06,0,0,0.0282944,-5.29124e-05,-0.00557465,0.00211149,0,0,0.0707361,-5.29124e-05,-0.00557465,0.00211149
0.0032286,2.37879,0.527783,44.5099,-2.25966,-21.5716,-1.44572,0,0,0,4.48231e-06,-6.83019e-06,4.48231e-06,0,0,0.0282944,-5.29124e-05,-0.00557465,0.00211149,0,0,0.0707361,-5.29124e-05,-0.00557465,0.00211149
0.0055468,2.37879,0.527783,44.5099,-2.25966,-21.5716,-1.44572,0,0,0,4.48231e-06,-6.83019e-06,4.48231e-06,0,0,0.0282944,-5.29124e-05,-0.00557465,0.00211149,0,0,0.0707361,-5.29124e-05,-0.00557465,0.00211149
0.0028695,2.37879,0.527783,44.5099,-2.25966,-21.5716,-1.44572,0,0,0,4.48231e-06,-6.83019e-06,4.48231e-06,0,0,0.0282944,-5.29124e-05,-0.00557465,0.00211149,0,0,0.0707361,-5.29124e-05,-0.00557465,0.00211149
0.0039189,2.37879,0.527783,44.5099,-2.25966,-21.5716,-1.44572,0,0,0,4.48231e-06,-6.83019e-06,4.48231e-06,0,0,0.0282944,-5.29124e-05,-0.00557465,0.00211149,0,0,0.0707361,-5.29124e-05,-0.00557465,0.00211149
0.0039442,2.37879,0.527783,44.5099,-2.25966,-21.5716,-1.44572,0,0,0,4.48231e-06,-6.83019e-06,4.48231e-06,0,0,0.0282944,-5.29124e-05,-0.00557465,0.00211149,0,0,0.0707361,-5.29124e-05,-0.00557465,0.00211149
0.0038999,2.37879,0.527783,44.5099,-2.25966,-21.5716,-1.44572,0,0,0,4.48231e-06,-6.83019e-06,4.48231e-06,0,0,0.0282944,-5.29124e-05,-0.00557465,0.00211149,0,0,0.0707361,-5.29124e-05,-0.00557465,0.00211149
0.0031085,2.37879,0.527783,44.5099,-2.25966,-21.5716,-1.44572,0,0,0,4.48231e-06,-6.83019e-06,4.48231e-06,0,0,0.0282944,-5.29124e-05,-0.00557465,0.00211149,0,0,0.0707361,-5.29124e-05,-0.00557465,0.00211149
0.0049383,2.42733,0.476696,44.9663,-2.29478,-21.8541,-1.33306,0.0485373,-0.0510872,0.456384,-0.0325988,-0.282546,0.125572,0,0,0.0301775,-5.68497e-05,-0.00595661,0.00225604,0,0,0.0754439,-5.68497e-05,-0.00595661,0.00225604
0.0037837,2.42733,0.476696,44.9663,-2.29478,-21.8541,-1.33306,0.0485373,-0.0510872,0.456384,-0.0325988,-0.282546,0.125572,0,0,0.0316241,-5.98875e-05,-0.0062513,0.00236756,0,0,0.0790602,-5.98875e-05,-0.0062513,0.00236756
0.0038015,2.42733,0.476696,44.9663,-2.29478,-21.8541,-1.33306,0.0485373,-0.0510872,0.456384,-0.0325988,-0.282546,0.125572,0,0,0.0330863,-6.2968e-05,-0.00655014,0.00248065,0,0,0.0827156,-6.2968e-05,-0.00655014,0.00248065
0.0040308,2.42733,0.476696,44.9663,-2.29478,-21.8541,-1.33306,0.0485373,-0.0510872,0.456384,-0.0325988,-0.282546,0.125572,0,0,0.0346212,-6.62123e-05,-0.00686487,0.00259975,0,0,0.086553,-6.62123e-05,-0.00686487,0.00259975
0.0039143,2.42733,0.476696,44.9663,-2.29478,-21.8541,-1.33306,0.0485373,-0.0510872,0.456384,-0.0325988,-0.282546,0.125572,0,0,0.0360999,-6.93486e-05,-0.00716912,0.00271488,0,0,0.0902498,-6.93486e-05,-0.00716912,0.00271488
0.0038827,2.42733,0.476696,44.9663,-2.29478,-21.8541,-1.33306,0.0485373,-0.0510872,0.456384,-0.0325988,-0.282546,0.125572,0,0,0.0375885,-7.25166e-05,-0.00747644,0.00283118,0,0,0.0939714,-7.25166e-05,-0.00747644,0.00283118
0.0038295,2.42733,0.476696,44.9663,-2.29478,-21.8541,-1.33306,0.0485373,-0.0510872,0.456384,-0.0325988,-0.282546,0.125572,0,0,0.0390314,-7.55976e-05,-0.00777534,0.00294429,0,0,0.0975785,-7.55976e-05,-0.00777534,0.00294429
0.003977,2.37879,0.527783,44.5099,-2.25966,-21.5716,-1.44572,0,0,0,4.48231e-06,-6.83019e-06,4.48231e-06,0,0,0.0390314,-7.55976e-05,-0.00777534,0.00294429,0,0,0.0975785,-7.55976e-05,-0.00777534,0.00294429
0.0033798,2.37879,0.527783,44.5099,-2.25966,-21.5716,-1.44572,0,0,0,4.48231e-06,-6.83019e-06,4.48231e-06,0,0,0.0390314,-7.55976e-05,-0.00777534,0.00294429,0,0,0.0975785,-7.55976e-05,-0.00777534,0.00294429
0.0040083,2.37879,0.527783,44.5099,-2.25966,-21.5716,-1.44572,0,0,0,4.48231e-06,-6.83019e-06,4.48231e-06,0,0,0.0390314,-7.55976e-05,-0.00777534,0.00294429,0,0,0.0975785,-7.55976e-05,-0.00777534,0.00294429
0.0038093,2.37879,0.527783,44.5099,-2.25966,-21.5716,-1.44572,0,0,0,4.48231e-06,-6.83019e-06,4.48231e-06,0,0,0.0390314,-7.55976e-05,-0.00777534,0.00294429,0,0,0.0975785,-7.55976e-05,-0.00777534,0.00294429
0.0038117,2.37879,0.527783,44.5099,-2.25966,-21.5716,-1.44572,0,0,0,4.48231e-06,-6.83019e-06,4.48231e-06,0,0,0.0390314,-7.55976e-05,-0.00777534,0.00294429,0,0,0.0975785,-7.55976e-05,-0.00777534,0.00294429
0.0039199,2.37879,0.527783,44.5099,-2.25966,-21.5716,-1.44572,0,0,0,4.48231e-06,-6.83019e-06,4.48231e-06,0,0,0.0390314,-7.55976e-05,-0.00777534,0.00294429,0,0,0.0975785,-7.55976e-05,-0.00777534,0.00294429
0.0037926,2.37879,0.527783,44.5099,-2.25966,-21.5716,-1.44572,0,0,0,4.48231e-06,-6.83019e-06,4.48231e-06,0,0,0.0390314,-7.55976e-05,-0.00777534,0.00294429,0,0,0.0975785,-7.55976e-05,-0.00777534,0.00294429
0.0038031,2.42733,0.476696,44.9663,-2.29478,-21.8541,-1.33306,0.0485373,-0.0510872,0.456384,-0.0325988,-0.282546,0.125572,0,0,0.0404415,-7.86176e-05,-0.0080683,0.00305516,0,0,0.101104,-7.86176e-05,-0.0080683,0.00305516
0.0040032,2.42733,0.476696,44.9663,-2.29478,-21.8541,-1.33306,0.0485373,-0.0510872,0.456384,-0.0325988,-0.282546,0.125572,0,0,0.0419148,-8.17841e-05,-0.00837548,0.0031714,0,0,0.104787,-8.17841e-05,-0.00837548,0.0031714
0.0039894,2.42733,0.476696,44.9663,-2.29478,-21.8541,-1.33306,0.0485373,-0.0510872,0.456384,-0.0325988,-0.282546,0.125572,0,0,0.043372,-8.49278e-05,-0.00868045,0.00328681,0,0,0.10843,-8.49278e-05,-0.00868045,0.00328681
0.0038526,2.42733,0.476696,44.9663,-2.29478,-21.8541,-1.33306,0.0485373,-0.0510872,0.456384,-0.0325988,-0.282546,0.125572,0,0,0.0447759,-8.79675e-05,-0.00897533,0.0033984,0,0,0.11194,-8.79675e-05,-0.00897533,0.0033984
0.0038558,2.42733,0.476696,44.9663,-2.29478,-21.8541,-1.33306,0.0485373,-0.0510872,0.456384,-0.0325988,-0.282546,0.125572,0,0,0.0462249,-9.11144e-05,-0.0092806,0.00351393,0,0,0.115562,-9.11143e-05,-0.0092806,0.00351393
0.0037233,2.42733,0.476696,44.9663,-2.29478,-21.8541,-1.33306,0.0485373,-0.0510872,0.456384,-0.0325988,-0.282546,0.125572,0,0,0.0475888,-9.40871e-05,-0.00956899,0.00362306,0,0,0.118972,-9.40871e-05,-0.00956899,0.00362306
0.0033139,2.42733,0.476696,44.9663,-2.29478,-21.8541,-1.33306,0.0485373,-0.0510872,0.456384,-0.0325988,-0.282546,0.125572,0,0,0.0487899,-9.67137e-05,-0.00982379,0.00371948,0,0,0.121975,-9.67137e-05,-0.00982379,0.00371948
0.0044595,2.37879,0.527783,44.5099,-2.25966,-21.5716,-1.44572,0,0,0,4.48231e-06,-6.83019e-06,4.48231e-06,0,0,0.0487899,-9.67137e-05,-0.00982379,0.00371948,0,0,0.121975,-9.67137e-05,-0.00982379,0.00371948
0.0039173,2.37879,0.527783,44.5099,-2.25966,-21.5716,-1.44572,0,0,0,4.48231e-06,-6.83019e-06,4.48231e-06,0,0,0.0487899,-9.67137e-05,-0.00982379,0.00371948,0,0,0.121975,-9.67137e-05,-0.00982379,0.00371948
0.0037506,2.37879,0.527783,44.5099,-2.25966,-21.5716,-1.44572,0,0,0,4.48231e-06,-6.83019e-06,4.48231e-06,0,0,0.0487899,-9.67137e-05,-0.00982379,0.00371948,0,0,0.121975,-9.67137e-05,-0.00982379,0.00371948
0.0038889,2.37879,0.527783,44.5099,-2.25966,-21.5716,-1.44572,0,0,0,4.48231e-06,-6.83019e-06,4.48231e-06,0,0,0.0487899,-9.67137e-05,-0.00982379,0.00371948,0,0,0.121975,-9.67137e-05,-0.00982379,0.00371948
0.0038963,2.37879,0.527783,44.5099,-2.25966,-21.5716,-1.44572,0,0,0,4.48231e-06,-6.83019e-06,4.48231e-06,0,0,0.0487899,-9.67137e-05,-0.00982379,0.00371948,0,0,0.121975,-9.67137e-05,-0.00982379,0.00371948
0.0040115,2.37879,0.527783,44.5099,-2.25966,-21.5716,-1.44572,0,0,0,4.48231e-06,-6.83019e-06,4.48231e-06,0,0,0.0487899,-9.67137e-05,-0.00982379,0.00371948,0,0,0.121975,-9.67137e-05,-0.00982379,0.00371948
0.0038574,2.42733,0.476696,44.9663,-2.29478,-21.8541,-1.33306,0.0485373,-0.0510872,0.456384,-0.0325988,-0.282546,0.125572,0,0,0.0501777,-9.97553e-05,-0.0101189,0.00383114,0,0,0.125444,-9.97553e-05,-0.0101189,0.00383114
0.0038835,2.42733,0.476696,44.9663,-2.29478,-21.8541,-1.33306,0.0485373,-0.0510872,0.456384,-0.0325988,-0.282546,0.125572,0,0,0.0515597,-0.000102795,-0.0104137,0.00394272,0,0,0.128899,-0.000102795,-0.0104137,0.00394272
0.0039043,2.42733,0.476696,44.9663,-2.29478,-21.8541,-1.33306,0.0485373,-0.0510872,0.456384,-0.0325988,-0.282546,0.125572,0,0,0.0529445,-0.000105851,-0.0107102,0.00405492,0,0,0.132361,-0.000105851,-0.0107102,0.00405492
0.0040264,2.42733,0.476696,44.9663,-2.29478,-21.8541,-1.33306,0.0485373,-0.0510872,0.456384,-0.0325988,-0.282546,0.125572,0,0,0.0543663,-0.000108998,-0.0110155,0.00417045,0,0,0.135916,-0.000108998,-0.0110155,0.00417045
0.0038736,2.42733,0.476696,44.9663,-2.29478,-21.8541,-1.33306,0.0485373,-0.0510872,0.456384,-0.0325988,-0.282546,0.125572,0,0,0.0557315,-0.00011203,-0.0113096,0.00428177,0,0,0.139329,-0.00011203,-0.0113096,0.00428177
0.0038795,2.42733,0.476696,44.9663,-2.29478,-21.8541,-1.33306,0.0485373,-0.0510872,0.456384,-0.0325988,-0.282546,0.125572,0,0,0.0570924,-0.000115063,-0.0116038,0.00439309,0,0,0.142731,-0.000115063,-0.0116038,0.00439309
0.0039113,2.37879,0.527783,44.5099,-2.25966,-21.5716,-1.44572,0,0,0,4.48231e-06,-6.83019e-06,4.48231e-06,0,0,0.0570924,-0.000115063,-0.0116038,0.00439309,0,0,0.142731,-0.000115063,-0.0116038,0.00439309
0.0038382,2.37879,0.527783,44.5099,-2.25966,-21.5716,-1.44572,0,0,0,4.48231e-06,-6.83019e-06,4.48231e-06,0,0,0.0570924,-0.000115063,-0.0116038,0.00439309,0,0,0.142731,-0.000115063,-0.0116038,0.00439309
0.003911,2.37879,0.527783,44.5099,-2.25966,-21.5716,-1.44572,0,0,0,4.48231e-06,-6.83019e-06,4.48231e-06,0,0,0.0570924,-0.000115063,-0.0116038,0.00439309,0,0,0.142731,-0.000115063,-0.0116038,0.00439309
0.0038541,2.37879,0.527783,44.5099,-2.25966,-21.5716,-1.44572,0,0,0,4.48231e-06,-6.83019e-06,4.48231e-06,0,0,0.0570924,-0.000115063,-0.0116038,0.00439309,0,0,0.142731,-0.000115063,-0.0116038,0.00439309
0.0038582,2.37879,0.527783,44.5099,-2.25966,-21.5716,-1.44572,0,0,0,4.48231e-06,-6.83019e-06,4.48231e-06,0,0,0.0570924,-0.000115063,-0.0116038,0.00439309,0,0,0.142731,-0.000115063,-0.0116038,0.00439309
0.0039569,2.37879,0.527783,44.5099,-2.25966,-21.5716,-1.44572,0,0,0,4.48231e-06,-6.83019e-06,4.48231e-06,0,0,0.0570924,-0.000115063,-0.0116038,0.00439309,0,0,0.142731,-0.000115063,-0.0116038,0.00439309
0.0039611,2.42733,0.476696,44.9663,-2.29478,-21.8541,-1.33306,0.0485373,-0.0510872,0.456384,-0.0325988,-0.282546,0.125572,0,0,0.0584751,-0.000118153,-0.0119036,0.00450655,0,0,0.146188,-0.000118153,-0.0119036,0.00450655
0.0038507,2.42733,0.476696,44.9663,-2.29478,-21.8541,-1.33306,0.0485373,-0.0510872,0.456384,-0.0325988,-0.282546,0.125572,0,0,0.0598132,-0.000121155,-0.0121948,0.00461675,0,0,0.149533,-0.000121155,-0.0121948,0.00461675
0.004022,2.42733,0.476696,44.9663,-2.29478,-21.8541,-1.33306,0.0485373,-0.0510872,0.456384,-0.0325988,-0.282546,0.125572,0,0,0.0611963,-0.000124267,-0.0124967,0.00473098,0,0,0.152991,-0.000124267,-0.0124967,0.00473098
0.0038357,2.42733,0.476696,44.9663,-2.29478,-21.8541,-1.33306,0.0485373,-0.0510872,0.456384,-0.0325988,-0.282546,0.125572,0,0,0.0625181,-0.000127252,-0.0127863,0.00484056,0,0,0.156295,-0.000127252,-0.0127863,0.00484056
0.0038986,2.42733,0.476696,44.9663,-2.29478,-21.8541,-1.33306,0.0485373,-0.0510872,0.456384,-0.0325988,-0.282546,0.125572,0,0,0.0638655,-0.000130304,-0.0130824,0.00495261,0,0,0.159664,-0.000130304,-0.0130824,0.00495261
0.0038938,2.42733,0.476696,44.9663,-2.29478,-21.8541,-1.33306,0.0485373,-0.0510872,0.456384,-0.0325988,-0.282546,0.125572,0,0,0.0652022,-0.000133344,-0.0133773,0.00506423,0,0,0.163006,-0.000133344,-0.0133773,0.00506423
0.0035386,2.42733,0.476696,44.9663,-2.29478,-21.8541,-1.33306,0.0485373,-0.0510872,0.456384,-0.0325988,-0.282546,0.125572,0,0,0.0664056,-0.00013609,-0.0136437,0.00516502,0,0,0.166014,-0.00013609,-0.0136437,0.00516502
0.0033974,2.37879,0.527783,44.5099,-2.25966,-21.5716,-1.44572,0,0,0,4.48231e-06,-6.83019e-06,4.48231e-06,0,0,0.0664056,-0.00013609,-0.0136437,0.00516502,0,0,0.166014,-0.00013609,-0.0136437,0.00516502
0.0046522,2.37879,0.527783,44.5099,-2.25966,-21.5716,-1.44572,0,0,0,4.48231e-06,-6.83019e-06,4.48231e-06,0,0,0.0664056,-0.00013609,-0.0136437,0.00516502,0,0,0.166014,-0.00013609,-0.0136437,0.00516502
0.0040953,2.37879,0.527783,44.5099,-2.25966,-21.5716,-1.44572,0,0,0,4.48231e-06,-6.83019e-06,4.48231e-06,0,0,0.0664056,-0.00013609,-0.0136437,0.00516502,0,0,0.166014,-0.00013609,-0.0136437,0.00516502
